Rep,Temp,LightFVFM
1,26,0.1631
1,27,0.1272
1,28,0.1242
1,29,0.1407
1,30,0.1124
1,31,0.0978
1,32,0.0913
1,33,0.0522
1,34,0.0188
1,35,0.0171
1,26,0.1631
1,25,0.1127
1,24,0.163
1,23,0.1433
1,22,0.1224
1,21,0.1063
1,20,0.1139
1,19,0.1572
1,18,0.134
1,17,0.1087
2,26,0.16565
2,27,0.155
2,28,0.1195
2,29,0.159
2,30,0.1046
2,31,0.0942
2,32,0.089
2,33,0.065
2,34,0.0003
2,35,0.0209
2,26,0.16565
2,25,0.1583
2,24,0.1707
2,23,0.1682
2,22,0.1743
2,21,0.1264
2,20,0.138
2,19,0.1638
2,18,0.1475
2,17,0.1157
3,26,0.16375
3,27,0.1497
3,28,0.1098
3,29,0.1003
3,30,0.0948
3,31,0.0908
3,32,0.0713
3,33,0.0677
3,34,0.0051
3,35,0.0181
3,26,0.16375
3,25,0.1539
3,24,0.1703
3,23,0.1365
3,22,0.115
3,21,0.1063
3,20,0.1139
3,19,0.1455
3,18,0.1244
3,17,0.1046
